od_id,run_id,origin_point_id,origin_dataset_source,origin_lat,origin_lon,dest_point_id,dest_dataset_source,dest_lat,dest_lon,distance_km,distance_bucket,actual_duration_s,route_distance_m,timestamp_iso,label_source,dataset_attribution
run20260221000458_002039,run20260221000458,pt_670187386aba6d21,Hawker Centres,1.284859,103.842579,pt_918a6b70441165b0,Child Care Services,1.318780,103.826841,4.157844,3_8km,697.000,5780.000,2026-02-21T00:23:38.117131+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002040,run20260221000458,pt_e80e95a16eed36b9,Child Care Services,1.286464,103.781864,pt_28b2a822b8a11374,Child Care Services,1.323894,103.864249,10.059775,8_20km,1523.000,16594.000,2026-02-21T00:23:38.420300+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002041,run20260221000458,pt_6a0d031fc505211f,Child Care Services,1.349431,103.870921,pt_1b88970994baabc5,Child Care Services,1.349138,103.852879,2.005887,1_3km,680.000,4607.000,2026-02-21T00:23:38.695407+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002042,run20260221000458,pt_5eebfa00d1a1dee8,Child Care Services,1.361395,103.746517,pt_365dd63460f3f803,Child Care Services,1.400009,103.744353,4.300414,3_8km,843.000,6015.000,2026-02-21T00:23:39.003258+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002043,run20260221000458,pt_b0599b223bc813ca,Child Care Services,1.348209,103.726358,pt_2cf0aa415c1464f0,Child Care Services,1.394026,103.744121,5.463894,3_8km,871.000,9214.000,2026-02-21T00:23:39.289365+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002044,run20260221000458,pt_fb407a61fce181de,Hawker Centres,1.276614,103.843162,pt_0a850d9e6b192e1c,Hawker Centres,1.288231,103.839934,1.340669,1_3km,301.000,2071.000,2026-02-21T00:23:39.576246+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002045,run20260221000458,pt_a2530196b108ba2b,Child Care Services,1.329436,103.870868,pt_137832a6b885caac,Child Care Services,1.414950,103.898821,10.003568,8_20km,1415.000,11531.000,2026-02-21T00:23:39.860531+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002046,run20260221000458,pt_ecedd770ac7d3e29,Child Care Services,1.387083,103.895447,pt_ee5666692ca3a661,Child Care Services,1.344711,103.941701,6.973973,3_8km,1140.000,11185.000,2026-02-21T00:23:40.188787+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002047,run20260221000458,pt_289018469ee63b20,Child Care Services,1.338289,103.775479,pt_b61d22a449586ce3,Child Care Services,1.347492,103.768347,1.294515,1_3km,205.000,1682.000,2026-02-21T00:23:40.454905+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002048,run20260221000458,pt_939279b78875ed72,Child Care Services,1.329356,103.903221,pt_06e2ba4347438092,Child Care Services,1.352410,103.886492,3.166993,3_8km,610.000,4259.000,2026-02-21T00:23:40.732383+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002049,run20260221000458,pt_981090eeccba1dd5,Child Care Services,1.376071,103.880924,pt_864f14123ba430a6,Community Club / PAssion WaVe Outlet,1.370631,103.949828,7.683423,3_8km,1222.000,12045.000,2026-02-21T00:23:41.040775+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002050,run20260221000458,pt_d1743ac42bea6e07,Child Care Services,1.434590,103.831139,pt_e8d5f7130cd0b47b,Child Care Services,1.322735,103.888103,13.956872,8_20km,1799.000,19458.000,2026-02-21T00:23:41.337783+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002051,run20260221000458,pt_066966d34772be9e,Child Care Services,1.316266,103.862529,pt_7189c86893ad6b83,Child Care Services,1.308466,103.878985,2.024535,1_3km,495.000,4062.000,2026-02-21T00:23:41.658225+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002052,run20260221000458,pt_632d6de7bd500838,Child Care Services,1.311921,103.766017,pt_58b88f992d6c91e5,Community Club / PAssion WaVe Outlet,1.302646,103.764832,1.039712,1_3km,356.000,2200.000,2026-02-21T00:23:42.015928+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
